date,base_mom6_top20,recommended_daily50_cash
2025-12-12,226624.89310110852,90525.61182755447
2025-12-15,225096.13316068798,89914.94665723587
2025-12-16,223098.77137863412,89117.09786451417
2025-12-17,217031.6039102445,86693.55983380383
2025-12-18,223602.6898933989,86650.21305388694
2025-12-19,232439.37912937102,90031.26985149995
2025-12-22,236401.23213030215,91565.82332507586
2025-12-23,236232.37650739745,91500.42009517302
2025-12-24,237624.39511588102,92039.59380768298
2025-12-26,236957.94996598666,91781.4581021235
2025-12-29,234949.5758881691,91003.5500331895
2025-12-30,234177.22503524917,90704.39363241212
2025-12-31,231386.60661050605,89623.49709331586
2026-01-02,240291.93195137804,93072.81687674725
2026-01-05,241777.0335194745,93648.04462229963
2026-01-06,253335.04306669056,98124.83457239003
2026-01-07,251316.01111506627,97342.7983651159
2026-01-08,245143.92670228914,94952.15096537521
2026-01-09,252040.65213140694,97623.4752071037
2026-01-12,255962.72126813594,99142.61910667742
2026-01-13,260045.90200422247,100724.16672601797
2026-01-14,257923.7093914029,99902.17306677974
2026-01-15,260320.0831522484,100830.36592952033
2026-01-16,259839.21100122857,100644.10863286647
2026-01-20,259884.80115771302,100661.7671711761
2026-01-21,267546.389439761,100611.43628759052
2026-01-22,268917.6257522854,101076.78714467342
2026-01-23,264229.264902695,99314.5952826644
2026-01-26,264345.2065299075,99358.17370985815
2026-01-27,274460.7366132465,103160.2498223069
2026-01-28,282547.2584204988,106199.69225813042
2026-01-29,281613.98768228944,105848.90823090108
2026-01-30,272798.0945782216,102535.3204797178
2026-02-02,280610.91906365135,105471.88960680027
2026-02-03,283014.68719221884,106375.38248420718
2026-02-04,273142.1757194585,102664.64861942602
2026-02-05,271616.90876911086,102091.35379560104
2026-02-06,284612.0963028463,102040.30811870325
2026-02-09,288883.08119886136,103520.53916731932
